broad_group,sum,mean,median,cumulative_percentage,category_percentage
Prepositions / Relational Words,115127,2093.2,138.0,6.8,6.8
Conjunctions,106282,908.4,0.0,13.0,6.2
Auxiliary Verbs / Aspect Markers,67081,1001.2,0.0,16.9,3.9
Function Nouns,48284,742.8,90.0,19.8,2.8
Determiners & Quantifiers,44803,1493.4,35.5,22.4,2.6
Particles & Discourse Markers,43021,796.7,10.5,24.9,2.5
Pronouns,24781,1077.4,8.0,26.4,1.5
Numbers & Time Expressions,18709,719.6,0.0,27.5,1.1
Question & Negation Words,15546,242.9,0.0,28.4,0.9
Politeness & Honorifics,12707,1411.9,0.0,29.1,0.7
