,Original,No_All,No_Auxiliary,No_Conjunctions,No_Determiners,No_Function_Nouns,No_Numbers,No_Particles,No_Politeness,No_Prepositions,No_Pronouns,No_Questions
Original,1.0,0.9987908101571947,1.0,0.9995969367190649,1.0,1.0,1.0,1.0,1.0,0.9995969367190649,0.9995969367190649,1.0
No_All,0.9987908101571947,1.0,0.9987908101571947,0.9991935483870967,0.9987908101571947,0.9987908101571947,0.9987908101571947,0.9987908101571947,0.9987908101571947,0.9991935483870967,0.9991935483870967,0.9987908101571947
No_Auxiliary,1.0,0.9987908101571947,1.0,0.9995969367190649,1.0,1.0,1.0,1.0,1.0,0.9995969367190649,0.9995969367190649,1.0
No_Conjunctions,0.9995969367190649,0.9991935483870967,0.9995969367190649,1.0,0.9995969367190649,0.9995969367190649,0.9995969367190649,0.9995969367190649,0.9995969367190649,0.9991938734381298,0.9991938734381298,0.9995969367190649
No_Determiners,1.0,0.9987908101571947,1.0,0.9995969367190649,1.0,1.0,1.0,1.0,1.0,0.9995969367190649,0.9995969367190649,1.0
No_Function_Nouns,1.0,0.9987908101571947,1.0,0.9995969367190649,1.0,1.0,1.0,1.0,1.0,0.9995969367190649,0.9995969367190649,1.0
No_Numbers,1.0,0.9987908101571947,1.0,0.9995969367190649,1.0,1.0,1.0,1.0,1.0,0.9995969367190649,0.9995969367190649,1.0
No_Particles,1.0,0.9987908101571947,1.0,0.9995969367190649,1.0,1.0,1.0,1.0,1.0,0.9995969367190649,0.9995969367190649,1.0
No_Politeness,1.0,0.9987908101571947,1.0,0.9995969367190649,1.0,1.0,1.0,1.0,1.0,0.9995969367190649,0.9995969367190649,1.0
No_Prepositions,0.9995969367190649,0.9991935483870967,0.9995969367190649,0.9991938734381298,0.9995969367190649,0.9995969367190649,0.9995969367190649,0.9995969367190649,0.9995969367190649,1.0,0.9991938734381298,0.9995969367190649
No_Pronouns,0.9995969367190649,0.9991935483870967,0.9995969367190649,0.9991938734381298,0.9995969367190649,0.9995969367190649,0.9995969367190649,0.9995969367190649,0.9995969367190649,0.9991938734381298,1.0,0.9995969367190649
No_Questions,1.0,0.9987908101571947,1.0,0.9995969367190649,1.0,1.0,1.0,1.0,1.0,0.9995969367190649,0.9995969367190649,1.0
