Stopword_Group,Term_Reduction_%,Unique_Term_Reduction_%,Vocab_Reduction_%,Remaining_Terms,Quality_Score
All_Stopwords,29.306476323778362,0.4355860612460405,0.0,1196010,100.0
Prepositions,6.804904056213889,0.0637979584653281,0.0,1576697,100.0
Conjunctions,6.282095537124432,0.08359732488559812,0.0,1585542,100.0
Auxiliary_Verbs,3.9650105448320816,0.039598732840551154,0.0,1624743,100.0
Function_Nouns,2.853961168537622,0.08359732488559812,0.0,1643540,100.0
Determiners,2.6482069056828594,0.03299894403379078,0.0,1647021,100.0
Particles,2.511726988150065,0.05939809926082118,0.0,1649330,100.0
Pronouns,1.4647504704981107,0.026399155227030402,0.0,1667043,100.0
Numbers,1.105847889614997,0.024199225624776943,0.0,1673115,100.0
Questions,0.9188899081701174,0.013199577613520752,0.0,1676278,100.0
Politeness,0.751082854954177,0.008799718409013835,0.0,1679117,100.0
