Corpus,Documents,Total_Terms,Unique_Terms,Vocab_Size,Avg_Doc_Length,Avg_TF-IDF,Khmer_Top_Terms,Non-Khmer_Top_Terms
Original,58398,1691824,45456,5000,28.970581184287134,0.0008413896054587614,100,0
No_All_Stopwords,58394,1196010,45258,5000,20.48172757475083,0.0007223866532719611,100,0
No_Auxiliary_Verbs,58398,1624743,45438,5000,27.821894585431007,0.0008279312272097045,100,0
No_Conjunctions,58398,1585542,45418,5000,27.15062159663002,0.0008195474071880948,100,0
No_Determiners,58398,1647021,45441,5000,28.20338025274838,0.0008305155830466065,100,0
No_Function_Nouns,58398,1643540,45418,5000,28.14377204698791,0.0008302379395716265,100,0
No_Numbers,58398,1673115,45445,5000,28.650210623651496,0.0008363841634486012,100,0
No_Particles,58398,1649330,45429,5000,28.242919278057467,0.0008302813887522304,100,0
No_Politeness,58398,1679117,45452,5000,28.75298811603137,0.000838662212999604,100,0
No_Prepositions,58398,1576697,45427,5000,26.99916093016884,0.0008151057332547593,100,0
No_Pronouns,58398,1667043,45444,5000,28.54623446008425,0.0008349879414953911,100,0
No_Questions,58398,1676278,45450,5000,28.70437343744649,0.0008374476625277487,100,0
